Name,Task,TaskCategory,EventGuid
Catalog.ConfigurePackageGroupGetOldGroupData,117,ConfigurePackageGroupGetOldGroupData,00000000-0000-0000-0000-000000000000
Catalog.ConfigurePackageGroupFinalize,118,ConfigurePackageGroupFinalize,00000000-0000-0000-0000-000000000000
Catalog.ConfigurePackageGroupComplete,119,ConfigurePackageGroupComplete,00000000-0000-0000-0000-000000000000
Catalog.PublishPackageGroup,120,PublishPackageGroup,00000000-0000-0000-0000-000000000000
Catalog.PublishPackageGroupGetOldGroupData,121,PublishPackageGroupGetOldGroupData,00000000-0000-0000-0000-000000000000
Catalog.PublishPackageGroupFinalize,122,PublishPackageGroupFinalize,00000000-0000-0000-0000-000000000000
Catalog.PublishPackageGroupUnpublishOldVersion,123,PublishPackageGroupUnpublishOldVersion,00000000-0000-0000-0000-000000000000
Catalog.PublishPackageGroupComplete,124,PublishPackageGroupComplete,00000000-0000-0000-0000-000000000000
Catalog.PublishFromServer,125,PublishFromServer,00000000-0000-0000-0000-000000000000
ClientProgrammability.AddAppvPackageTask,201,Add-AppvPackage,00000000-0000-0000-0000-000000000000
ClientProgrammability.RemoveAppvPackageTask,202,Remove-AppvPackage,00000000-0000-0000-0000-000000000000
ClientProgrammability.SetAppvPackageTask,203,Set-AppvPackage,00000000-0000-0000-0000-000000000000
ClientProgrammability.PublishAppvPackageTask,204,Publish-AppvPackage,00000000-0000-0000-0000-000000000000
ClientProgrammability.UnpublishAppvPackageTask,205,Unpublish-AppvPackage,00000000-0000-0000-0000-000000000000
ClientProgrammability.GetAppvPackageTask,206,Get-AppvPackage,00000000-0000-0000-0000-000000000000
ClientProgrammability.MountAppvPackageTask,207,Mount-AppvPackage,00000000-0000-0000-0000-000000000000
ClientProgrammability.RepairAppvPackageTask,208,Repair-AppvPackage,00000000-0000-0000-0000-000000000000
ClientProgrammability.StopAppvPackageTask,209,Stop-AppvPackage,00000000-0000-0000-0000-000000000000
ClientProgrammability.CancelMountAppvPackageTask,210,CancelMount-AppvPackage,00000000-0000-0000-0000-000000000000
ClientProgrammability.SetAppvClientModeTask,211,Set-AppvClientMode,00000000-0000-0000-0000-000000000000
ClientProgrammability.GetAppvClientModeTask,212,Get-AppvClientMode,00000000-0000-0000-0000-000000000000
ClientProgrammability.AddAppvClientConnectionGroupTask,220,Add-AppvClientConnectionGroup,00000000-0000-0000-0000-000000000000
ClientProgrammability.DisableAppvClientConnectionGroupTask,221,Disable-AppvClientConnectionGroup,00000000-0000-0000-0000-000000000000
ClientProgrammability.EnableAppvClientConnectionGroupTask,222,Enable-AppvClientConnectionGroup,00000000-0000-0000-0000-000000000000
ClientProgrammability.GetAppvClientConnectionGroupTask,223,Get-AppvClientConnectionGroup,00000000-0000-0000-0000-000000000000
ClientProgrammability.MountAppvClientConnectionGroupTask,224,Mount-AppvClientConnectionGroup,00000000-0000-0000-0000-000000000000
ClientProgrammability.RemoveAppvClientConnectionGroupTask,225,Remove-AppvClientConnectionGroup,00000000-0000-0000-0000-000000000000
ClientProgrammability.RepairAppvClientConnectionGroupTask,226,Repair-AppvClientConnectionGroup,00000000-0000-0000-0000-000000000000
ClientProgrammability.StopAppvClientConnectionGroupTask,227,Stop-AppvClientConnectionGroup,00000000-0000-0000-0000-000000000000
ClientProgrammability.GetAppvPublishingServersTask,250,Get-AppvPublishingServer,00000000-0000-0000-0000-000000000000
ClientProgrammability.AddAppvPublishingServerTask,251,Add-AppvPublishingServer,00000000-0000-0000-0000-000000000000
ClientProgrammability.SetAppvPublishingServerTask,252,Set-AppvPublishingServer,00000000-0000-0000-0000-000000000000
ClientProgrammability.RemoveAppvPublishingServerTask,253,Remove-AppvPublishingServer,00000000-0000-0000-0000-000000000000
ClientProgrammability.RefreshAppvPublishingServerTask,254,Refresh-AppvPublishingServer,00000000-0000-0000-0000-000000000000
ClientProgrammability.GetAppvApplicationTask,260,Get-AppvClientApplication,00000000-0000-0000-0000-000000000000
ClientProgrammability.StartAppvVirtualProcessTask,270,Start-AppvVirtualProcess,00000000-0000-0000-0000-000000000000
ClientProgrammability.GetAppvClientConfigurationTask,280,Get-AppvClientConfiguration,00000000-0000-0000-0000-000000000000
ClientProgrammability.SetAppvClientConfigurationTask,281,Set-AppvClientConfiguration,00000000-0000-0000-0000-000000000000
ClientProgrammability.SendAppvClientReportTask,291,Send-AppvClientReport,00000000-0000-0000-0000-000000000000
ClientProgrammability.EnableAppvTask,292,Enable-AppV,00000000-0000-0000-0000-000000000000
ClientProgrammability.DisableAppvTask,293,Disable-AppV,00000000-0000-0000-0000-000000000000
ClientService.ServiceStartup,301,ServiceStartup,00000000-0000-0000-0000-000000000000
ClientService.ControllerStartup,302,ControllerStartup,00000000-0000-0000-0000-000000000000
ClientService.ControllerRun,303,ControllerRun,00000000-0000-0000-0000-000000000000
ClientService.ServiceShutdown,304,ServiceShutdown,00000000-0000-0000-0000-000000000000
ClientService.ControllerStop,305,ControllerStop,00000000-0000-0000-0000-000000000000
ClientService.ControllerShutdown,306,ControllerShutdown,00000000-0000-0000-0000-000000000000
ClientService.ControllerUserLogon,307,ControllerUserLogon,00000000-0000-0000-0000-000000000000
ClientService.ControllerUserLogoff,308,ControllerUserLogoff,00000000-0000-0000-0000-000000000000
ClientService.QueueClientEvent,309,QueueClientEvent,00000000-0000-0000-0000-000000000000
ClientService.GlobalMaintenance,310,GlobalMaintenance,00000000-0000-0000-0000-000000000000
ClientService.GlobalMaintenanceComponent,311,GlobalMaintenanceComponent,00000000-0000-0000-0000-000000000000
ClientService.UserMaintenance,312,UserMaintenance,00000000-0000-0000-0000-000000000000
ClientService.UserMaintenanceComponent,313,UserMaintenanceComponent,00000000-0000-0000-0000-000000000000
ClientUX.ReloadDataOperation,401,ReloadData,00000000-0000-0000-0000-000000000000
ClientUX.LoadCommand,402,Load,00000000-0000-0000-0000-000000000000
ClientUX.CancelLoadCommand,403,CancelLoad,00000000-0000-0000-0000-000000000000
ClientUX.PublishingRefreshCommand,404,PublishingRefresh,00000000-0000-0000-0000-000000000000
ClientUX.GetPackagesOperation,405,GetPackages,00000000-0000-0000-0000-000000000000
ClientUX.GetConnectionGroupsOperation,406,GetConnectionGroups,00000000-0000-0000-0000-000000000000
ClientUX.RepairCommand,407,GetConnectionGroups,00000000-0000-0000-0000-000000000000
ClientUX.LoadAllPackagesCommand,408,LoadAllPackages,00000000-0000-0000-0000-000000000000
ClientUX.ToggleOnlineModeCommand,409,ToggleOnlineMode,00000000-0000-0000-0000-000000000000
ClientUX.GetPublishingServersOperation,410,GetPublishingServers,00000000-0000-0000-0000-000000000000
ClientUX.SetPackageIsInConnectionGroupOperation,411,SetPackageIsInConnectionGroup,00000000-0000-0000-0000-000000000000
ClientUX.GetConfigurationOperation,412,GetConfiguration,00000000-0000-0000-0000-000000000000
ClientUX.SetConfigurationOperation,413,SetConfiguration,00000000-0000-0000-0000-000000000000
Scripting.VirtualEnvironmentCreatedFinalize,503,VirtualEnvironmentCreatedFinalize,00000000-0000-0000-0000-000000000000
Scripting.VirtualProcessCreatedFinalize,504,VirtualProcessCreatedFinalize,00000000-0000-0000-0000-000000000000
Scripting.VirtualProcessTerminated,505,VirtualProcessTerminated,00000000-0000-0000-0000-000000000000
Scripting.VirtualEnvironmentTerminated,506,VirtualEnvironmentTerminated,00000000-0000-0000-0000-000000000000
Scripting.UnpublishPackage,507,UnpublishPackage,00000000-0000-0000-0000-000000000000
Scripting.RemovePackage,508,RemovePackage,00000000-0000-0000-0000-000000000000
Scripting.ConfigurePackageFinalize,509,ConfigurePackageFinalize,00000000-0000-0000-0000-000000000000
Scripting.PublishPackageFinalize,510,PublishPackageFinalize,00000000-0000-0000-0000-000000000000
IsvApi.IsvStartup,601,IsvStartup,00000000-0000-0000-0000-000000000000
IsvApi.IsvShutdown,602,IsvShutdown,00000000-0000-0000-0000-000000000000
IsvApi.ControllerStartup,603,ControllerStartup,00000000-0000-0000-0000-000000000000
IsvApi.ControllerRun,604,ControllerRun,00000000-0000-0000-0000-000000000000
IsvApi.ControllerUserLogon,605,ControllerUserLogon,00000000-0000-0000-0000-000000000000
IsvApi.ControllerUserLogoff,606,ControllerUserLogoff,00000000-0000-0000-0000-000000000000
IsvApi.ControllerStop,607,ControllerStop,00000000-0000-0000-0000-000000000000
IsvApi.ControllerShutdown,608,ControllerShutdown,00000000-0000-0000-0000-000000000000
ManifestLibrary.ManifestCreateManifestDocumentFromDocument,701,ManifestCreateManifestDocumentFromDocument,00000000-0000-0000-0000-000000000000
ManifestLibrary.ManifestCreateManifestDocumentFromFile,702,ManifestCreateManifestDocumentFromFile,00000000-0000-0000-0000-000000000000
ManifestLibrary.ManifestCreateManifestDocumentFromXML,703,ManifestCreateManifestDocumentFromXML,00000000-0000-0000-0000-000000000000
ManifestLibrary.ManifestValidateAppXNamespace,704,ManifestValidateAppXNamespace,00000000-0000-0000-0000-000000000000
ManifestLibrary.ManifestValidateAppXNamespaceSave,705,ManifestValidateAppXNamespaceSave,00000000-0000-0000-0000-000000000000
ManifestLibrary.ManifestValidateAppXNamespaceCreateManifestReader,706,ManifestValidateAppXNamespaceCreateManifestReader,00000000-0000-0000-0000-000000000000
ManifestLibrary.ManifestValidateAppVNamespace,707,ManifestValidateAppVNamespace,00000000-0000-0000-0000-000000000000
ManifestLibrary.ManifestValidateUsingClientConfigOnly,708,ManifestValidateUsingClientConfigOnly,00000000-0000-0000-0000-000000000000
ManifestLibrary.ManifestValidateAppVNamespaceApplyTransformCleanupAppX,709,ManifestValidateAppVNamespaceApplyTransformCleanupAppX,00000000-0000-0000-0000-000000000000
