signature_id,Status,Sub_Status,reason
4625,0xC000006A,0xC0000071,"User logon with misspelled or bad password. User logon with expired password."
4625,0xC000006A,0xC0000133,"User logon with misspelled or bad password. Clocks between DC and other computer too far out of sync."
4625,0xC000006A,0xC0000224,"User logon with misspelled or bad password. The user password must be changed before logging on the first time."
4625,0xC000006A,0xC0000225,"User logon with misspelled or bad password. The object was not found."
4625,0xC000006A,0xC000005E,"User logon with misspelled or bad password. There are currently no logon servers available to service the logon request."
4625,0xC000006A,0xC000006D,"User logon with misspelled or bad password. The cause is either a bad username or authentication information."
4625,0xC000006A,0xC000006E,"User logon with misspelled or bad password. Indicates a referenced user name and authentication information are valid, but some user account restriction has prevented successful authentication (such as time-of-day restrictions)."
4625,0xC000006A,0xC00000DC,"User logon with misspelled or bad password. Indicates the Sam Server was in the wrong state to perform the desired operation."
4625,0xC000006A,0xC000015B,"User logon with misspelled or bad password. The user has not been granted the requested logon type (also called the logon right) at this machine."
4625,0xC000006A,0xC000018C,"User logon with misspelled or bad password. The logon request failed because the trust relationship between the primary domain and the trusted domain failed."
4625,0xC000006A,0xC0000192,"User logon with misspelled or bad password. An attempt was made to logon, but the Netlogon service was not started."
4625,0xC000006A,0xC00002EE,"User logon with misspelled or bad password. A security context was deleted before the context was completed. This is considered a logon failure."
4625,0xC000006A,0xC0000413,"User logon with misspelled or bad password. Logon Failure: The machine you are logging on to is protected by an authentication firewall. The specified account is not allowed to authenticate to the machine."
4625,0xc0000234,0xc0000064,"User logon with account locked. The specified account does not exist."
4625,0xc0000234,0xc000006a,"User logon with account locked. User logon with misspelled or bad password."
4625,0xc0000234,0xc0000234,"User logon with account locked."
4625,0xc0000234,0xc0000072,"User logon with account locked. User logon to account disabled by administrator."
4625,0xc0000234,0xc000006f,"User logon with account locked. User logon outside authorized hours."
4625,0xc0000234,0xc0000070,"User logon with account locked. User logon from unauthorized workstation."
4625,0xc0000234,0xc0000193,"User logon with account locked. User logon with expired account."
